INFO  | 01/03/2023 12:14:16 AM | File ctrnn_runner.py      | Line 131   | Training Loss @ epoch 0004 iteration 00000008 = 0.08348964899778366
INFO  | 01/03/2023 12:14:19 AM | File ctrnn_runner.py      | Line 131   | Training Loss @ epoch 0004 iteration 00000009 = 0.08348281681537628
INFO  | 01/03/2023 12:14:21 AM | File ctrnn_runner.py      | Line 131   | Training Loss @ epoch 0004 iteration 00000010 = 0.08346574008464813
INFO  | 01/03/2023 12:14:24 AM | File ctrnn_runner.py      | Line 131   | Training Loss @ epoch 0004 iteration 00000011 = 0.08344210684299469
INFO  | 01/03/2023 12:14:25 AM | File ctrnn_runner.py      | Line 131   | Training Loss @ epoch 0004 iteration 00000012 = 0.08341618627309799
INFO  | 01/03/2023 12:14:27 AM | File ctrnn_runner.py      | Line 131   | Training Loss @ epoch 0004 iteration 00000013 = 0.08339205384254456
INFO  | 01/03/2023 12:14:28 AM | File ctrnn_runner.py      | Line 131   | Training Loss @ epoch 0004 iteration 00000014 = 0.08337287604808807
INFO  | 01/03/2023 12:14:30 AM | File ctrnn_runner.py      | Line 131   | Training Loss @ epoch 0004 iteration 00000015 = 0.0833604708313942
INFO  | 01/03/2023 12:14:33 AM | File ctrnn_runner.py      | Line 149   | Validation Loss @ epoch 0004 = 0.08335522189736366
INFO  | 01/03/2023 12:14:33 AM | File ctrnn_runner.py      | Line 157   | Saving Snapshot @ epoch 0004
INFO  | 01/03/2023 12:14:33 AM | File ctrnn_runner.py      | Line 166   | Avg training Loss @ the end of epoch 0004 = 0.08341898210346699
INFO  | 01/03/2023 12:14:35 AM | File ctrnn_runner.py      | Line 131   | Training Loss @ epoch 0005 iteration 00000000 = 0.08335521817207336
INFO  | 01/03/2023 12:14:36 AM | File ctrnn_runner.py      | Line 131   | Training Loss @ epoch 0005 iteration 00000001 = 0.08335625380277634
INFO  | 01/03/2023 12:14:38 AM | File ctrnn_runner.py      | Line 131   | Training Loss @ epoch 0005 iteration 00000002 = 0.08336173743009567
