INFO  | 02/18/2023 01:36:02 PM | File summary.py           | Line 40    | Summary name beats_chain_full_sine_beatsn10_targetsn10_dt0.01_interval[[0.4,0.6],[1,1.2]]_training_loss is illegal; using beats_chain_full_sine_beatsn10_targetsn10_dt0.01_interval__0.4_0.6___1_1.2___training_loss instead.
INFO  | 02/18/2023 01:36:02 PM | File beats_chain_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0001 iteration 00000017 = 0.5052493214607239
INFO  | 02/18/2023 01:36:03 PM | File summary.py           | Line 40    | Summary name beats_chain_full_sine_beatsn10_targetsn10_dt0.01_interval[[0.4,0.6],[1,1.2]]_training_loss is illegal; using beats_chain_full_sine_beatsn10_targetsn10_dt0.01_interval__0.4_0.6___1_1.2___training_loss instead.
INFO  | 02/18/2023 01:36:03 PM | File beats_chain_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0001 iteration 00000018 = 0.501860499382019
INFO  | 02/18/2023 01:36:04 PM | File summary.py           | Line 40    | Summary name beats_chain_full_sine_beatsn10_targetsn10_dt0.01_interval[[0.4,0.6],[1,1.2]]_training_loss is illegal; using beats_chain_full_sine_beatsn10_targetsn10_dt0.01_interval__0.4_0.6___1_1.2___training_loss instead.
INFO  | 02/18/2023 01:36:04 PM | File beats_chain_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0001 iteration 00000019 = 0.49834364652633667
INFO  | 02/18/2023 01:36:05 PM | File summary.py           | Line 40    | Summary name beats_chain_full_sine_beatsn10_targetsn10_dt0.01_interval[[0.4,0.6],[1,1.2]]_training_loss is illegal; using beats_chain_full_sine_beatsn10_targetsn10_dt0.01_interval__0.4_0.6___1_1.2___training_loss instead.
INFO  | 02/18/2023 01:36:05 PM | File beats_chain_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0001 iteration 00000020 = 0.4966163635253906
INFO  | 02/18/2023 01:36:06 PM | File summary.py           | Line 40    | Summary name beats_chain_full_sine_beatsn10_targetsn10_dt0.01_interval[[0.4,0.6],[1,1.2]]_training_loss is illegal; using beats_chain_full_sine_beatsn10_targetsn10_dt0.01_interval__0.4_0.6___1_1.2___training_loss instead.
INFO  | 02/18/2023 01:36:06 PM | File beats_chain_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0001 iteration 00000021 = 0.4971640408039093
INFO  | 02/18/2023 01:36:07 PM | File summary.py           | Line 40    | Summary name beats_chain_full_sine_beatsn10_targetsn10_dt0.01_interval[[0.4,0.6],[1,1.2]]_training_loss is illegal; using beats_chain_full_sine_beatsn10_targetsn10_dt0.01_interval__0.4_0.6___1_1.2___training_loss instead.
INFO  | 02/18/2023 01:36:07 PM | File beats_chain_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0001 iteration 00000022 = 0.49863114953041077
INFO  | 02/18/2023 01:36:08 PM | File summary.py           | Line 40    | Summary name beats_chain_full_sine_beatsn10_targetsn10_dt0.01_interval[[0.4,0.6],[1,1.2]]_training_loss is illegal; using beats_chain_full_sine_beatsn10_targetsn10_dt0.01_interval__0.4_0.6___1_1.2___training_loss instead.
INFO  | 02/18/2023 01:36:08 PM | File beats_chain_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0001 iteration 00000023 = 0.4993109107017517
INFO  | 02/18/2023 01:36:09 PM | File summary.py           | Line 40    | Summary name beats_chain_full_sine_beatsn10_targetsn10_dt0.01_interval[[0.4,0.6],[1,1.2]]_training_loss is illegal; using beats_chain_full_sine_beatsn10_targetsn10_dt0.01_interval__0.4_0.6___1_1.2___training_loss instead.
INFO  | 02/18/2023 01:36:09 PM | File beats_chain_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0001 iteration 00000024 = 0.4983273446559906
INFO  | 02/18/2023 01:36:10 PM | File summary.py           | Line 40    | Summary name beats_chain_full_sine_beatsn10_targetsn10_dt0.01_interval[[0.4,0.6],[1,1.2]]_training_loss is illegal; using beats_chain_full_sine_beatsn10_targetsn10_dt0.01_interval__0.4_0.6___1_1.2___training_loss instead.
INFO  | 02/18/2023 01:36:10 PM | File beats_chain_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0001 iteration 00000025 = 0.4962548613548279
INFO  | 02/18/2023 01:36:11 PM | File summary.py           | Line 40    | Summary name beats_chain_full_sine_beatsn10_targetsn10_dt0.01_interval[[0.4,0.6],[1,1.2]]_training_loss is illegal; using beats_chain_full_sine_beatsn10_targetsn10_dt0.01_interval__0.4_0.6___1_1.2___training_loss instead.
INFO  | 02/18/2023 01:36:11 PM | File beats_chain_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0001 iteration 00000026 = 0.4941820800304413
INFO  | 02/18/2023 01:36:12 PM | File summary.py           | Line 40    | Summary name beats_chain_full_sine_beatsn10_targetsn10_dt0.01_interval[[0.4,0.6],[1,1.2]]_training_loss is illegal; using beats_chain_full_sine_beatsn10_targetsn10_dt0.01_interval__0.4_0.6___1_1.2___training_loss instead.
INFO  | 02/18/2023 01:36:12 PM | File beats_chain_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0001 iteration 00000027 = 0.4934674799442291
INFO  | 02/18/2023 01:36:15 PM | File beats_chain_ctrnn_runner.py | Line 144   | Validation Loss @ epoch 0001 = 0.49371491159711567
INFO  | 02/18/2023 01:36:15 PM | File summary.py           | Line 40    | Summary name beats_chain_full_sine_beatsn10_targetsn10_dt0.01_interval[[0.4,0.6],[1,1.2]]_validation_loss is illegal; using beats_chain_full_sine_beatsn10_targetsn10_dt0.01_interval__0.4_0.6___1_1.2___validation_loss instead.
INFO  | 02/18/2023 01:36:15 PM | File beats_chain_ctrnn_runner.py | Line 152   | Saving Snapshot @ epoch 0001
INFO  | 02/18/2023 01:36:15 PM | File beats_chain_ctrnn_runner.py | Line 163   | Avg training Loss @ the end of epoch 0001 = 0.5095348996775491
INFO  | 02/18/2023 01:36:15 PM | File summary.py           | Line 40    | Summary name beats_chain_full_sine_beatsn10_targetsn10_dt0.01_interval[[0.4,0.6],[1,1.2]]_avg_training_loss is illegal; using beats_chain_full_sine_beatsn10_targetsn10_dt0.01_interval__0.4_0.6___1_1.2___avg_training_loss instead.
INFO  | 02/18/2023 01:36:16 PM | File summary.py           | Line 40    | Summary name beats_chain_full_sine_beatsn10_targetsn10_dt0.01_interval[[0.4,0.6],[1,1.2]]_training_loss is illegal; using beats_chain_full_sine_beatsn10_targetsn10_dt0.01_interval__0.4_0.6___1_1.2___training_loss instead.
INFO  | 02/18/2023 01:36:16 PM | File beats_chain_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000000 = 0.4938112795352936
INFO  | 02/18/2023 01:36:17 PM | File summary.py           | Line 40    | Summary name beats_chain_full_sine_beatsn10_targetsn10_dt0.01_interval[[0.4,0.6],[1,1.2]]_training_loss is illegal; using beats_chain_full_sine_beatsn10_targetsn10_dt0.01_interval__0.4_0.6___1_1.2___training_loss instead.
INFO  | 02/18/2023 01:36:17 PM | File beats_chain_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000001 = 0.49423983693122864
INFO  | 02/18/2023 01:36:18 PM | File summary.py           | Line 40    | Summary name beats_chain_full_sine_beatsn10_targetsn10_dt0.01_interval[[0.4,0.6],[1,1.2]]_training_loss is illegal; using beats_chain_full_sine_beatsn10_targetsn10_dt0.01_interval__0.4_0.6___1_1.2___training_loss instead.
INFO  | 02/18/2023 01:36:18 PM | File beats_chain_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000002 = 0.49391329288482666
INFO  | 02/18/2023 01:36:19 PM | File summary.py           | Line 40    | Summary name beats_chain_full_sine_beatsn10_targetsn10_dt0.01_interval[[0.4,0.6],[1,1.2]]_training_loss is illegal; using beats_chain_full_sine_beatsn10_targetsn10_dt0.01_interval__0.4_0.6___1_1.2___training_loss instead.
