INFO  | 01/03/2023 12:33:23 PM | File ctrnn_runner.py      | Line 158   | Saving Snapshot @ epoch 0003
INFO  | 01/03/2023 12:33:23 PM | File ctrnn_runner.py      | Line 167   | Avg training Loss @ the end of epoch 0003 = 0.0833897297270596
INFO  | 01/03/2023 12:33:25 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0004 iteration 00000000 = 0.08332972973585129
INFO  | 01/03/2023 12:33:28 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0004 iteration 00000001 = 0.08334194123744965
INFO  | 01/03/2023 12:33:31 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0004 iteration 00000002 = 0.08335889875888824
INFO  | 01/03/2023 12:33:33 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0004 iteration 00000003 = 0.08336655050516129
INFO  | 01/03/2023 12:33:36 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0004 iteration 00000004 = 0.08335975557565689
INFO  | 01/03/2023 12:33:39 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0004 iteration 00000005 = 0.08334428071975708
INFO  | 01/03/2023 12:33:41 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0004 iteration 00000006 = 0.08333112299442291
INFO  | 01/03/2023 12:33:45 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0004 iteration 00000007 = 0.08332790434360504
INFO  | 01/03/2023 12:33:49 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0004 iteration 00000008 = 0.08333403617143631
INFO  | 01/03/2023 12:33:52 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0004 iteration 00000009 = 0.08334251493215561
INFO  | 01/03/2023 12:33:55 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0004 iteration 00000010 = 0.08334584534168243
INFO  | 01/03/2023 12:33:58 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0004 iteration 00000011 = 0.08334162086248398
INFO  | 01/03/2023 12:34:00 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0004 iteration 00000012 = 0.08333342522382736
INFO  | 01/03/2023 12:34:03 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0004 iteration 00000013 = 0.08332721143960953
INFO  | 01/03/2023 12:34:06 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0004 iteration 00000014 = 0.08332652598619461
