INFO  | 01/03/2023 10:29:02 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0004 iteration 00000008 = 0.17784029245376587
INFO  | 01/03/2023 10:29:04 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0004 iteration 00000009 = 0.17334072291851044
INFO  | 01/03/2023 10:29:07 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0004 iteration 00000010 = 0.17949460446834564
INFO  | 01/03/2023 10:29:09 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0004 iteration 00000011 = 0.17466026544570923
INFO  | 01/03/2023 10:29:11 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0004 iteration 00000012 = 0.17464464902877808
INFO  | 01/03/2023 10:29:14 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0004 iteration 00000013 = 0.17589311301708221
INFO  | 01/03/2023 10:29:16 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0004 iteration 00000014 = 0.17477113008499146
INFO  | 01/03/2023 10:29:19 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0004 iteration 00000015 = 0.1702592521905899
INFO  | 01/03/2023 10:29:21 PM | File ctrnn_runner.py      | Line 148   | Validation Loss @ epoch 0004 = 0.17105216160416603
INFO  | 01/03/2023 10:29:21 PM | File ctrnn_runner.py      | Line 156   | Saving Snapshot @ epoch 0004
INFO  | 01/03/2023 10:29:21 PM | File ctrnn_runner.py      | Line 165   | Avg training Loss @ the end of epoch 0004 = 0.1738991355523467
INFO  | 01/03/2023 10:29:24 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0005 iteration 00000000 = 0.17980384826660156
INFO  | 01/03/2023 10:29:27 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0005 iteration 00000001 = 0.17353005707263947
INFO  | 01/03/2023 10:29:29 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0005 iteration 00000002 = 0.176219180226326
INFO  | 01/03/2023 10:29:31 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0005 iteration 00000003 = 0.16939760744571686
INFO  | 01/03/2023 10:29:34 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0005 iteration 00000004 = 0.17717328667640686
INFO  | 01/03/2023 10:29:36 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0005 iteration 00000005 = 0.18078917264938354
INFO  | 01/03/2023 10:29:39 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0005 iteration 00000006 = 0.17073112726211548
INFO  | 01/03/2023 10:29:42 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0005 iteration 00000007 = 0.17552070319652557
INFO  | 01/03/2023 10:29:44 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0005 iteration 00000008 = 0.17153139412403107
INFO  | 01/03/2023 10:29:46 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0005 iteration 00000009 = 0.1711510270833969
INFO  | 01/03/2023 10:29:49 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0005 iteration 00000010 = 0.1754542589187622
INFO  | 01/03/2023 10:29:51 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0005 iteration 00000011 = 0.17153236269950867
INFO  | 01/03/2023 10:29:53 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0005 iteration 00000012 = 0.1681782603263855
INFO  | 01/03/2023 10:29:56 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0005 iteration 00000013 = 0.17704062163829803
INFO  | 01/03/2023 10:29:58 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0005 iteration 00000014 = 0.17185863852500916
INFO  | 01/03/2023 10:30:00 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0005 iteration 00000015 = 0.17213115096092224
INFO  | 01/03/2023 10:30:03 PM | File ctrnn_runner.py      | Line 148   | Validation Loss @ epoch 0005 = 0.171047605574131
INFO  | 01/03/2023 10:30:03 PM | File ctrnn_runner.py      | Line 156   | Saving Snapshot @ epoch 0005
INFO  | 01/03/2023 10:30:03 PM | File ctrnn_runner.py      | Line 165   | Avg training Loss @ the end of epoch 0005 = 0.17387766856700182
INFO  | 01/03/2023 10:30:06 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0006 iteration 00000000 = 0.17096245288848877
INFO  | 01/03/2023 10:30:08 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0006 iteration 00000001 = 0.17659737169742584
INFO  | 01/03/2023 10:30:11 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0006 iteration 00000002 = 0.173188254237175
INFO  | 01/03/2023 10:30:13 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0006 iteration 00000003 = 0.1752391755580902
