INFO  | 02/05/2023 07:30:48 PM | File gaussian_derivative_loss_ctrnn_runner.py | Line 124   | Training Loss @ epoch 0002 iteration 00000006 = 0.5000003576278687
INFO  | 02/05/2023 07:30:49 PM | File gaussian_derivative_loss_ctrnn_runner.py | Line 124   | Training Loss @ epoch 0002 iteration 00000007 = 0.5000001192092896
INFO  | 02/05/2023 07:30:51 PM | File gaussian_derivative_loss_ctrnn_runner.py | Line 124   | Training Loss @ epoch 0002 iteration 00000008 = 0.4999999403953552
INFO  | 02/05/2023 07:30:52 PM | File gaussian_derivative_loss_ctrnn_runner.py | Line 124   | Training Loss @ epoch 0002 iteration 00000009 = 0.4999999701976776
INFO  | 02/05/2023 07:30:54 PM | File gaussian_derivative_loss_ctrnn_runner.py | Line 124   | Training Loss @ epoch 0002 iteration 00000010 = 0.4999999403953552
INFO  | 02/05/2023 07:30:56 PM | File gaussian_derivative_loss_ctrnn_runner.py | Line 124   | Training Loss @ epoch 0002 iteration 00000011 = 0.4999999701976776
INFO  | 02/05/2023 07:30:57 PM | File gaussian_derivative_loss_ctrnn_runner.py | Line 124   | Training Loss @ epoch 0002 iteration 00000012 = 0.5000002384185791
INFO  | 02/05/2023 07:30:59 PM | File gaussian_derivative_loss_ctrnn_runner.py | Line 124   | Training Loss @ epoch 0002 iteration 00000013 = 0.49999988079071045
INFO  | 02/05/2023 07:31:00 PM | File gaussian_derivative_loss_ctrnn_runner.py | Line 124   | Training Loss @ epoch 0002 iteration 00000014 = 0.5000001192092896
INFO  | 02/05/2023 07:31:02 PM | File gaussian_derivative_loss_ctrnn_runner.py | Line 124   | Training Loss @ epoch 0002 iteration 00000015 = 0.4999999403953552
INFO  | 02/05/2023 07:31:04 PM | File gaussian_derivative_loss_ctrnn_runner.py | Line 124   | Training Loss @ epoch 0002 iteration 00000016 = 0.4999997615814209
INFO  | 02/05/2023 07:31:05 PM | File gaussian_derivative_loss_ctrnn_runner.py | Line 124   | Training Loss @ epoch 0002 iteration 00000017 = 0.49999985098838806
INFO  | 02/05/2023 07:31:07 PM | File gaussian_derivative_loss_ctrnn_runner.py | Line 124   | Training Loss @ epoch 0002 iteration 00000018 = 0.4999999403953552
INFO  | 02/05/2023 07:31:08 PM | File gaussian_derivative_loss_ctrnn_runner.py | Line 124   | Training Loss @ epoch 0002 iteration 00000019 = 0.5000001192092896
INFO  | 02/05/2023 07:31:10 PM | File gaussian_derivative_loss_ctrnn_runner.py | Line 124   | Training Loss @ epoch 0002 iteration 00000020 = 0.5000001788139343
